Fecha_2020,Valor_2020,Fecha_2021,Valor_2021,Fecha_2022,Valor_2022
2020-08-07,25.74722222222222,2021-07-31,12.927777777777777,2022-08-04,22.56736111111111
2020-08-08,25.694444444444443,2021-08-01,15.833333333333334,2022-08-05,16.599305555555556
2020-08-09,26.11388888888889,2021-08-02,15.952083333333333,2022-08-06,15.054166666666667
2020-08-10,27.22986111111111,2021-08-03,15.077777777777776,2022-08-07,16.262500000000003
2020-08-11,21.75347222222222,2021-08-04,16.311805555555555,2022-08-08,17.088194444444444
2020-08-12,12.511702127659573,2021-08-05,18.861805555555556,2022-08-09,15.480555555555554
2020-09-08,19.505555555555556,2021-08-06,20.810416666666665,2022-08-10,13.859027777777778
2020-09-09,23.099305555555556,2021-08-07,24.720833333333335,2022-08-11,15.113194444444446
2020-09-10,26.24722222222222,2021-08-08,26.670833333333334,2022-08-12,19.22361111111111
2020-09-11,30.439583333333335,2021-08-09,22.813194444444445,2022-08-13,23.238194444444446
2020-09-12,31.751388888888886,2021-08-10,12.714583333333334,2022-08-14,27.00625
2020-09-13,30.304166666666667,2021-08-11,13.015277777777778,2022-08-15,29.30277777777778
2020-09-14,21.12777777777778,2021-08-12,13.28263888888889,2022-08-16,21.05763888888889
2020-09-15,17.274305555555557,2021-08-13,14.273611111111112,2022-08-17,21.882638888888888
2020-09-16,18.910416666666666,2021-08-14,16.049999999999997,2022-08-18,17.436111111111114
2020-09-17,20.490277777777777,2021-08-15,18.289583333333333,2022-08-19,11.520833333333334
2020-09-18,22.143356643356643,2021-08-16,21.474305555555556,2022-08-20,12.95625
2020-09-19,23.827083333333334,2021-08-17,27.879166666666666,2022-08-21,16.168750000000003
2020-09-20,18.21388888888889,2021-08-18,30.358333333333334,2022-08-22,20.136805555555554
2020-09-21,18.759027777777778,2021-08-19,32.787499999999994,2022-08-23,23.783333333333335
2020-09-22,19.67638888888889,2021-08-20,29.81736111111111,2022-08-24,26.295833333333334
2020-09-23,25.120833333333334,2021-08-21,27.38611111111111,2022-08-25,26.57361111111111
2020-09-24,28.731250000000003,2021-08-22,30.04513888888889,2022-08-26,27.168750000000003
2020-09-25,31.739583333333332,2021-08-23,30.720138888888886,2022-08-27,27.92361111111111
2020-09-26,33.927083333333336,2021-08-24,21.03125,2022-08-28,19.404166666666665
2020-09-27,30.175694444444446,2021-08-25,17.021527777777777,2022-08-29,13.272916666666667
2020-09-28,21.632638888888888,2021-08-26,16.964583333333334,2022-08-30,17.650694444444444
2020-09-29,19.20701754385965,2021-08-27,18.066666666666666,2022-08-31,21.913888888888888
2020-09-30,34.58472222222222,2021-08-28,20.016666666666666,2022-09-01,26.639583333333334
2020-10-01,36.50347222222222,2021-08-29,23.094444444444445,2022-09-02,20.90972222222222
2020-10-02,32.78541666666667,2021-08-30,25.381944444444443,2022-09-03,17.49375
2020-10-03,22.34097222222222,2021-08-31,26.193055555555556,2022-09-04,13.240277777777777
2020-10-04,20.3375,2021-09-01,27.886805555555554,2022-09-05,12.560416666666667
2020-10-05,21.006944444444443,2021-09-02,28.729861111111113,2022-09-06,18.42361111111111
2020-10-06,22.64236111111111,2021-09-03,23.50486111111111,2022-09-07,21.854166666666668
2020-10-07,27.3375,2021-09-04,24.785416666666666,2022-09-08,28.823611111111113
2020-10-08,27.989583333333332,2021-09-05,24.558333333333334,2022-09-09,22.91111111111111
2020-10-09,24.139583333333334,2021-09-06,28.099305555555556,2022-09-10,16.336805555555557
2020-10-10,23.95138888888889,2021-09-07,33.706944444444446,2022-09-11,16.710416666666667
2020-10-11,28.158088235294116,2021-09-08,23.13888888888889,2022-09-12,18.436111111111114
2020-10-12,28.82013888888889,2021-09-09,18.861805555555556,2022-09-13,18.36388888888889
2020-10-13,26.977083333333333,2021-09-10,18.29861111111111,2022-09-14,18.1625
2020-10-14,26.15902777777778,2021-09-11,22.363194444444446,2022-09-15,18.20486111111111
2020-10-15,23.40625,2021-09-12,28.377083333333335,2022-09-16,19.714583333333334
2020-10-16,25.663888888888888,2021-09-13,32.483333333333334,2022-09-17,22.672916666666666
2020-10-17,28.546527777777776,2021-09-14,23.054861111111112,2022-09-18,24.400694444444444
2020-10-18,30.117730496453902,2021-09-15,18.772916666666667,2022-09-19,21.586111111111112
2020-10-19,30.87916666666667,2021-09-16,19.120833333333334,2022-09-20,21.21527777777778
2020-10-20,29.751685393258427,2021-09-17,23.352447552447554,2022-09-21,20.702083333333334
2020-10-21,26.567999999999998,2021-09-18,27.379166666666666,2022-09-22,18.852777777777778
2020-10-22,27.89375,2021-09-19,31.827777777777776,2022-09-23,16.43402777777778
2020-10-23,29.776344086021503,2021-09-20,32.900000000000006,2022-09-24,17.858333333333334
2020-10-24,29.678260869565218,2021-09-21,21.550694444444446,2022-09-25,19.022916666666667
2020-10-25,32.243750000000006,2021-09-22,20.222916666666666,2022-09-26,20.463194444444444
2020-10-26,25.47163120567376,2021-09-23,21.725694444444443,2022-09-27,21.108333333333334
2020-10-27,23.643939393939394,2021-09-24,21.819444444444443,2022-09-28,20.93472222222222
2020-10-28,27.15347222222222,2021-09-25,21.52013888888889,2022-09-29,18.618055555555557
2020-10-29,24.896527777777777,2021-09-26,24.626388888888886,2022-09-30,19.177777777777777
2020-10-30,21.322222222222223,2021-09-27,29.212500000000002,2022-10-01,20.38888888888889
2020-10-31,22.4625,2021-09-28,26.849305555555556,2022-10-02,21.891666666666666
2020-11-01,22.79576271186441,2021-09-29,24.897222222222222,2022-10-03,21.263194444444444
2020-11-02,25.68913043478261,2021-09-30,29.39861111111111,2022-10-04,21.80413223140496
2020-11-03,26.086805555555557,2021-10-01,26.2125,2022-10-05,23.2875
2020-11-04,25.34722222222222,2021-10-02,22.615277777777777,2022-10-06,21.097916666666666
2020-11-05,25.789583333333333,2021-10-03,22.589583333333334,2022-10-07,19.884027777777778
2020-11-06,26.822222222222223,2021-10-04,18.717361111111114,2022-10-08,22.195138888888888
2020-11-07,29.31180555555555,2021-10-05,21.168750000000003,2022-10-09,16.538888888888888
2020-11-08,28.052941176470586,2021-10-06,25.975694444444443,2022-10-10,12.93888888888889
2020-11-09,22.75177304964539,2021-10-07,22.279166666666665,2022-10-11,14.899305555555555
2020-11-10,21.775694444444444,2021-10-08,25.688888888888886,2022-10-12,18.071527777777778
2020-11-11,24.637500000000003,2021-10-09,23.681944444444444,2022-10-13,20.049999999999997
2020-11-12,27.453472222222224,2021-10-10,24.132638888888888,2022-10-14,21.86388888888889
2020-11-13,28.75486111111111,2021-10-11,25.56875,2022-10-15,24.420833333333334
2020-11-14,29.597560975609756,2021-10-12,25.975694444444443,2022-10-16,24.920833333333334
2020-11-15,22.9125,2021-10-13,28.61736111111111,2022-10-17,23.874305555555555
2020-11-16,25.865248226950353,2021-10-14,25.890972222222224,2022-10-18,23.77847222222222
2020-11-17,25.954615384615384,2021-10-15,22.64513888888889,2022-10-19,24.160416666666666
2020-11-18,22.59298245614035,2021-10-16,18.644444444444446,2022-10-20,21.835416666666667
2020-11-21,27.22361111111111,2021-10-17,20.24375,2022-10-21,22.124305555555555
2020-11-24,31.649305555555557,2021-10-18,21.369444444444444,2022-10-22,22.63125
2020-11-28,30.420833333333334,2021-10-19,21.89236111111111,2022-10-23,24.40625
2020-11-30,23.783333333333335,2021-10-20,24.350694444444443,2022-10-24,26.586805555555557
2020-12-01,23.72222222222222,2021-10-21,24.86875,2022-10-26,26.89512195121951
2020-12-02,30.005555555555556,2021-10-22,26.054166666666667,2022-12-12,4.888888888888889
2020-12-03,23.635714285714286,2021-10-23,26.554861111111112,2022-12-13,16.789473684210527
2020-12-04,23.675694444444446,2021-10-24,21.885416666666668,2022-12-15,30.933333333333334
2020-12-05,24.279166666666665,2021-10-25,22.166666666666668,,
2020-12-06,24.352083333333333,2021-10-26,24.929861111111112,,
2020-12-07,24.897916666666667,2021-10-27,27.62986111111111,,
2020-12-08,26.018749999999997,2021-10-28,28.300694444444446,,
2020-12-09,27.594444444444445,2021-10-29,29.727777777777778,,
2020-12-10,28.912587412587413,2021-10-30,27.1875,,
2020-12-11,30.37847222222222,2021-10-31,27.236805555555556,,
2020-12-12,31.59791666666667,2021-11-01,28.46944444444445,,
2020-12-13,27.822222222222223,2021-11-02,29.358333333333334,,
2020-12-14,24.979166666666668,2021-11-03,27.827083333333334,,
2020-12-15,27.186111111111114,2021-11-04,29.943055555555556,,
2020-12-16,25.99074074074074,2021-11-05,27.836805555555557,,
2020-12-17,26.085925925925924,2021-11-06,22.008333333333333,,
2020-12-18,27.595138888888886,2021-11-07,24.87152777777778,,
2020-12-19,30.310416666666665,2021-11-08,25.827777777777776,,
2020-12-20,23.99652777777778,2021-11-09,28.072222222222223,,
